Nama,Kategori,Kategori_Bersih,Panjang_Pertanyaan,Panjang_Jawaban,Jumlah_Kata_Pertanyaan,Jumlah_Kata_Jawaban,Kategori_Label,absent,abstrak,aju,aju banding,akhir,aku,anggota,apa,bagaimana,bagaimana cara,bagi,baik,banding,baru,beberapa,belum,buat,bukti,bulan,camp,capstone,cara,check,check in,coding,coding camp,daily,dapat,dashboard,data,deadline,dicoding,dosen,email,form,gimana,guna,hadir,halo,hari,hasil,ikut,ilt,in,isi,izin,izin tanya,jadi,kait,kak,kalau,kapan,kelas,kemarin,kerja,kirim,konversi,konversi sks,kumpul,laku,lalu,lapor,learning,lebih,lulus,ma,materi,mau,misal,model,modul,nilai,nya,padahal,poin,program,project,reschedule,salah,sama,satu,sebut,selesai,semua,sesi,sesi ilt,sks,ss,status,supervisor,tambah,tanggal,tanya,team,tentu,terima,tetap,tim,ubah,waktu
Albany,full stack development,Full Stack Development,172,42,27,6,2,0.0,0.6640428165954433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2964434296849838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28880852140879226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3140514989579903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27120045213578575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3108603803126792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448852902077778,0.0
Monica ,data sains,Data Sains,783,42,133,6,1,0.0,0.0,0.0,0.0,0.0,0.5582171150564453,0.09863159519010578,0.07996851938630366,0.0,0.0,0.0,0.09066717355665774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17308032947200816,0.275015477843415,0.0,0.0,0.0,0.1750128727305096,0.17702767619359508,0.0,0.0,0.0,0.07726038428083218,0.0,0.0,0.0,0.15581785616062582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21947693666789478,0.0,0.0,0.14631795777859652,0.0,0.0476985921769381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08385763305965233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5440030413399464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16771526611930465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251572899178957,0.0,0.0
Rahma,data sains,Data Sains,534,173,87,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1554693204077499,0.1592515267582221,0.0,0.13801364445781852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16566043391241422,0.0,0.0,0.1554693204077499,0.4213799208234454,0.0,0.4176564561721401,0.11701401840242091,0.0,0.0,0.12488186826669717,0.1304335161638037,0.0,0.0,0.3351190218209862,0.0,0.0,0.0,0.4464089351078834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3109386408154998,0.0,0.0,0.0,0.0,0.0,0.0,0.12402460900961156,0.0,0.0,0.1634125566951703,0.0,0.0,0.0,0.0,0.10688528390566686,0.0,0.0,0.14045997360781515,0.0,0.0,0.0,0.0
Rahma,data sains,Data Sains,29,130,5,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923718589808213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45130085896119587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rahma,data sains,Data Sains,38,47,6,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIA ,full stack development,Full Stack Development,74,37,13,5,2,0.0,0.0,0.0,0.0,0.45064081425029534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47453961859320104,0.0,0.43541654482135456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23998979273822282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44534684756556814,0.0,0.0,0.0,0.0,0.0,0.0,0.35527246467740614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirrul ,ai engineer,AI Engineer,149,37,24,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293872365595395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35115475092243453,0.0,0.0,0.3144501402883937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37846256846135995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2902384933474109,0.3596975278861081,0.0,0.0,0.0,0.35115475092243453,0.0,0.0,0.0,0.0,0.0,0.0,0.28013135048637855,0.0,0.0,0.0,0.33268251477022476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gading rizky,full stack development,Full Stack Development,316,219,51,30,2,0.0,0.19175752779949218,0.17437798780645328,0.20192699202297462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18527926800603817,0.0,0.0,0.0,0.0,0.2184185452670501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5558378040181144,0.0,0.17120962018757022,0.19175752779949218,0.16969675035863754,0.0,0.0,0.0,0.3044422789648847,0.3179763200652006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34875597561290655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15117620811845311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2605694475242538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ainun Madina,full stack development,Full Stack Development,286,45,47,8,2,0.0,0.0,0.0,0.0,0.0,0.6871839708601457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323105370061739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11140607873170046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1307562002643625,0.4725308476301805,0.0,0.0,0.29524104917619587,0.0,0.0,0.10503087383183808,0.0,0.0,0.0,0.07046227804736359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21153408916664515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261512400528725,0.0,0.0,0.0,0.0,0.0,0.0,0.10430988294563634,0.127840610625846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11813271190754512,0.0,0.0,0.0,0.0
 Claudia Prima,data sains,Data Sains,478,79,73,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3498694391725764,0.4705665537304244,0.0,0.0,0.17640316720996557,0.0,0.0,0.0,0.0,0.0,0.1810665406959972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16564822420115358,0.0,0.0,0.0,0.0,0.35280633441993114,0.0,0.0,0.19813406379016704,0.0,0.0,0.19182148370480923,0.0,0.1827157472953234,0.0,0.0,0.20529067683850777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20529067683850777,0.2166157846446108,0.0,0.0,0.0,0.0,0.0,0.0,0.17640316720996557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41058135367701554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
